iter	Passed	Remaining
0	139	139833
1	140	70310
2	142	47192
3	143	35636
4	144	28696
5	145	24060
6	146	20728
7	147	18233
8	148	16306
9	148	14747
10	149	13465
11	150	12395
12	151	11484
13	152	10710
14	153	10050
15	153	9461
16	154	8943
17	155	8489
18	156	8086
19	157	7722
20	158	7392
21	159	7090
22	160	6813
23	161	6563
24	162	6342
25	163	6127
26	164	5924
27	165	5745
28	166	5570
29	167	5403
30	168	5252
31	168	5106
32	169	4969
33	170	4848
34	171	4727
35	172	4612
36	172	4501
37	173	4399
38	174	4298
39	175	4211
40	176	4123
41	177	4052
42	178	3974
43	179	3899
44	180	3824
45	181	3754
46	181	3683
47	182	3624
48	183	3563
49	184	3502
50	184	3442
51	186	3391
52	186	3335
53	187	3283
54	188	3233
55	188	3185
56	189	3140
57	190	3097
58	191	3053
59	192	3011
60	193	2973
61	193	2933
62	195	2900
63	195	2865
64	196	2832
65	197	2798
66	198	2767
67	199	2734
68	200	2703
69	201	2672
70	201	2641
71	202	2611
72	203	2581
73	204	2555
74	205	2530
75	205	2504
76	206	2480
77	207	2453
78	208	2431
79	209	2405
80	210	2383
81	210	2361
82	211	2334
83	212	2313
84	212	2291
85	213	2269
86	214	2250
87	215	2229
88	215	2209
89	216	2189
90	217	2170
91	218	2154
92	219	2137
93	219	2120
94	220	2104
95	221	2087
96	222	2070
97	223	2057
98	224	2042
99	225	2027
100	226	2012
101	227	1999
102	228	1985
103	228	1972
104	229	1959
105	230	1947
106	231	1934
107	232	1921
108	233	1908
109	234	1895
110	235	1883
111	236	1873
112	237	1861
113	238	1850
114	238	1837
115	239	1826
116	240	1813
117	241	1803
118	241	1791
119	242	1780
120	243	1770
121	244	1757
122	245	1748
123	245	1737
124	246	1726
125	247	1716
126	248	1706
127	249	1696
128	250	1688
129	251	1680
130	252	1673
131	252	1663
132	254	1656
133	255	1648
134	256	1641
135	256	1632
136	257	1623
137	258	1614
138	259	1605
139	260	1597
140	260	1589
141	261	1579
142	262	1571
143	263	1563
144	263	1556
145	264	1548
146	265	1542
147	266	1535
148	267	1528
149	268	1521
150	269	1513
151	269	1506
152	270	1498
153	271	1490
154	272	1483
155	272	1476
156	273	1469
157	274	1462
158	275	1455
159	275	1448
160	276	1440
161	277	1433
162	277	1426
163	278	1421
164	279	1414
165	280	1409
166	281	1403
167	282	1399
168	283	1392
169	283	1386
170	284	1380
171	285	1374
172	286	1368
173	287	1363
174	287	1357
175	288	1351
176	289	1346
177	290	1340
178	291	1335
179	291	1329
180	292	1325
181	293	1319
182	294	1314
183	295	1308
184	296	1304
185	297	1300
186	298	1296
